chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_013964.1,WP_004041146.1,HVO_RS00035,HVO_B0007,651,7541,8191,+,protein_coding,helix-turn-helix domain-containing protein
NC_013968.1,WP_144064058.1,HVO_RS19340,HVO_C0011,1368,7718,9085,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043314.1,HVO_RS01900,HVO_A0008,1299,8150,9448,+,protein_coding,RNA-guided endonuclease TnpB family protein
NC_013964.1,WP_004041145.1,HVO_RS00040,HVO_B0008,375,8220,8594,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041144.1,HVO_RS00045,HVO_B0009,1143,8587,9729,-,protein_coding,Rieske 2Fe-2S domain-containing protein
NC_013967.1,WP_004044965.1,HVO_RS04745,HVO_0009,1347,8873,10219,+,protein_coding,tryptophanase
NC_013968.1,WP_013035672.1,HVO_RS19345,HVO_C0012,321,9296,9616,+,protein_coding,hypothetical protein
NC_013966.1,NA,HVO_RS21170,HVO_A0007A,243,9445,9687,+,pseudogene,hypothetical protein
NC_013968.1,WP_013035120.1,HVO_RS19350,HVO_C0013,1299,9798,11096,-,protein_coding,IS4-like element ISHvo12 family transposase
NC_013964.1,WP_004041143.1,HVO_RS00050,HVO_B0011,1143,9927,11069,+,protein_coding,N-methyl-L-tryptophan oxidase
NC_013966.1,WP_049941486.1,HVO_RS01905,HVO_A0009,720,9938,10657,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044967.1,HVO_RS04750,HVO_0010,660,10248,10907,-,protein_coding,metallophosphoesterase family protein
NC_013966.1,WP_013035121.1,HVO_RS01910,HVO_A0010,813,10786,11598,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044970.1,HVO_RS04755,HVO_0011,573,10956,11528,-,protein_coding,IMP cyclohydrolase
NC_013968.1,NA,HVO_RS21370,HVO_C0014,363,11184,11546,+,pseudogene,hypothetical protein
NC_013964.1,WP_004041142.1,HVO_RS00055,HVO_B0012,1755,11360,13114,+,protein_coding,BCCT family transporter
NC_013966.1,WP_013035100.1,HVO_RS01915,HVO_A0011,924,11595,12518,-,protein_coding,helix-turn-helix domain-containing protein
NC_013967.1,NA,HVO_RS04760,"HVO_3065,HVO_3066",73,11661,11733,+,tRNA,tRNA-Gln
NC_013968.1,WP_144064059.1,HVO_RS20350,HVO_C0015,567,11678,12244,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044972.1,HVO_RS04765,HVO_0013,495,11897,12391,-,protein_coding,KEOPS complex subunit Cgi121
NC_013967.1,WP_004044974.1,HVO_RS04770,HVO_0014,2484,12388,14871,-,protein_coding,ATP-dependent DNA helicase
NC_013968.1,WP_236995496.1,HVO_RS19360,HVO_C0017,852,12685,13536,+,protein_coding,ParA family protein
NC_013966.1,WP_004043309.1,HVO_RS01920,HVO_A0012,450,12870,13319,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041141.1,HVO_RS20710,HVO_B0013,159,13151,13309,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041140.1,HVO_RS00060,HVO_B0014,2514,13523,16036,+,protein_coding,FAD-dependent oxidoreductase
NC_013968.1,WP_013035707.1,HVO_RS19365,HVO_C0018,387,13539,13925,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043308.1,HVO_RS01925,HVO_A0013,879,13757,14635,+,protein_coding,hypothetical protein
NC_013968.1,NA,HVO_RS20355,HVO_C0020A,256,14579,14834,+,pseudogene,integrase core domain-containing protein
NC_013967.1,WP_004044976.1,HVO_RS04775,HVO_0015,246,14980,15225,+,protein_coding,ferredoxin
NC_013968.1,WP_013035579.1,HVO_RS19370,HVO_C0021,1170,15191,16360,+,protein_coding,ISH3 family transposase
NC_013966.1,WP_013035031.1,HVO_RS01930,HVO_A0014,999,15297,16295,+,protein_coding,IS110-like element ISHvo9 family transposase
NC_013967.1,WP_004044977.1,HVO_RS04780,HVO_0016,858,15479,16336,+,protein_coding,hypothetical protein
NC_013964.1,WP_049914704.1,HVO_RS00065,HVO_B0015,378,16218,16595,-,protein_coding,PIN domain-containing protein
NC_013967.1,WP_004044979.1,HVO_RS04785,HVO_0017,579,16358,16936,-,protein_coding,hypothetical protein
NC_013968.1,WP_013035713.1,HVO_RS19375,HVO_C0022,369,16507,16875,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041138.1,HVO_RS00070,HVO_B0016,231,16592,16822,-,protein_coding,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
NC_013964.1,WP_004041137.1,HVO_RS00075,HVO_B0017,423,16978,17400,-,protein_coding,hypothetical protein
NC_013968.1,WP_013035735.1,HVO_RS19380,HVO_C0023,495,17018,17512,-,protein_coding,hypothetical protein
NC_013967.1,WP_004044988.1,HVO_RS04790,HVO_0018,459,17030,17488,-,protein_coding,DUF2391 family protein
NC_013966.1,WP_013035025.1,HVO_RS01935,HVO_A0016,999,17092,18090,-,protein_coding,IS110-like element ISHvo10 family transposase
NC_013964.1,WP_004041136.1,HVO_RS00080,HVO_B0018,864,17397,18260,-,protein_coding,ParA family protein
NC_013967.1,WP_004044996.1,HVO_RS04795,HVO_0019,681,17615,18295,+,protein_coding,class I SAM-dependent methyltransferase
NC_013968.1,WP_144064060.1,HVO_RS19390,HVO_C0025,261,17716,17976,-,protein_coding,hypothetical protein
NC_013968.1,WP_144064061.1,HVO_RS20665,HVO_C0026A,354,18073,18426,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045000.1,HVO_RS04800,HVO_0020,1086,18323,19408,-,protein_coding,ABC transporter ATP-binding protein
NC_013966.1,WP_004043422.1,HVO_RS20740,HVO_A0017,177,18495,18671,+,protein_coding,hypothetical protein
NC_013964.1,WP_013034953.1,HVO_RS00085,HVO_B0019,1371,18522,19892,+,protein_coding,anion permease
NC_013968.1,WP_013035669.1,HVO_RS21375,HVO_C0027,195,18658,18852,+,protein_coding,M48 family metallopeptidase
NC_013966.1,WP_004043421.1,HVO_RS01940,HVO_A0018,1215,18756,19970,+,protein_coding,RNA-guided endonuclease TnpB family protein
NC_013968.1,WP_013035728.1,HVO_RS19400,HVO_C0028,975,18908,19882,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045002.1,HVO_RS04805,HVO_0021,1722,19512,21233,-,protein_coding,iron ABC transporter permease
NC_013968.1,WP_013035690.1,HVO_RS20370,HVO_C0029,525,19887,20411,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041134.1,HVO_RS00090,HVO_B0020,654,20051,20704,+,protein_coding,helix-turn-helix domain-containing protein
NC_013966.1,WP_004043420.1,HVO_RS01945,HVO_A0019,897,20841,21737,+,protein_coding,hypothetical protein
NC_013968.1,WP_013035727.1,HVO_RS19405,HVO_C0031,207,20884,21090,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041133.1,HVO_RS00095,HVO_B0021,1869,20888,22756,+,protein_coding,ABC transporter substrate-binding protein
NC_013968.1,WP_013035673.1,HVO_RS20670,HVO_C0032,174,21134,21307,-,protein_coding,hypothetical protein
NC_013967.1,WP_004045003.1,HVO_RS04810,HVO_0022,1137,21243,22379,-,protein_coding,thiamine ABC transporter substrate-binding protein
NC_013968.1,WP_013035671.1,HVO_RS19410,HVO_C0033,531,21542,22072,+,protein_coding,hypothetical protein
NC_013966.1,WP_144064018.1,HVO_RS20460,NA,321,21973,22293,+,protein_coding,hypothetical protein
NC_013968.1,WP_171810352.1,HVO_RS21120,HVO_C0034,1152,22260,23411,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043418.1,HVO_RS01955,HVO_A0020,705,22306,23010,+,protein_coding,DUF6338 family protein
NC_013967.1,WP_004045004.1,HVO_RS04815,HVO_0023,891,22510,23400,+,protein_coding,AI-2E family transporter
NC_013964.1,WP_049914703.1,HVO_RS00100,HVO_B0022,996,22808,23803,+,protein_coding,ABC transporter permease
NC_013966.1,WP_004043417.1,HVO_RS01960,HVO_A0021,396,23099,23494,-,protein_coding,hypothetical protein
NC_013967.1,WP_004045005.1,HVO_RS04820,HVO_0024,777,23410,24186,-,protein_coding,rhodanese-like domain-containing protein
NC_013968.1,WP_013035725.1,HVO_RS19420,HVO_C0035,2955,23448,26402,+,protein_coding,transfer complex protein
NC_013966.1,WP_004043416.1,HVO_RS01965,HVO_A0022,999,23617,24615,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041131.1,HVO_RS00105,HVO_B0023,921,23800,24720,+,protein_coding,ABC transporter permease
NC_013967.1,WP_004045008.1,HVO_RS04825,HVO_0025,861,24438,25298,+,protein_coding,sulfurtransferase
NC_013966.1,WP_004043415.1,HVO_RS01970,HVO_A0023,168,24692,24859,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041130.1,HVO_RS00110,HVO_B0024,2118,24717,26834,+,protein_coding,ABC transporter ATP-binding protein
NC_013966.1,WP_004043414.1,HVO_RS01975,HVO_A0024,684,25023,25706,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045012.1,HVO_RS04830,HVO_0026,1443,25352,26794,-,protein_coding,TIGR00366 family protein
NC_013966.1,WP_004043413.1,HVO_RS01980,HVO_A0026,927,25828,26754,+,protein_coding,transcription initiation factor IIB family protein
NC_013968.1,WP_013035712.1,HVO_RS19425,HVO_C0036,3915,26402,30316,+,protein_coding,type IV secretion system DNA-binding domain-containing protein
NC_013966.1,WP_171810342.1,HVO_RS20745,NA,468,26793,27260,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045014.1,HVO_RS04835,HVO_0027,600,26974,27573,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041129.1,HVO_RS00115,HVO_B0025,1041,27220,28260,-,protein_coding,alcohol dehydrogenase catalytic domain-containing protein
NC_013966.1,WP_004043411.1,HVO_RS01990,HVO_A0027,552,27257,27808,-,protein_coding,hypothetical protein
NC_013967.1,WP_004045016.1,HVO_RS04840,HVO_0028,270,27832,28101,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043410.1,HVO_RS01995,HVO_A0028,882,27945,28826,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045019.1,HVO_RS04845,HVO_0029,2097,28190,30286,+,protein_coding,excinuclease ABC subunit UvrB
NC_013964.1,WP_004041128.1,HVO_RS00120,HVO_B0026,774,28359,29132,+,protein_coding,SDR family NAD(P)-dependent oxidoreductase
NC_013966.1,WP_049914868.1,HVO_RS02000,HVO_A0029,189,28965,29153,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043408.1,HVO_RS02005,HVO_A0030,381,29245,29625,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043407.1,HVO_RS02010,HVO_A0031,663,29695,30357,+,protein_coding,hypothetical protein
NC_013964.1,WP_004061785.1,HVO_RS00125,HVO_B0027,870,29918,30787,+,protein_coding,fumarylacetoacetate hydrolase family protein
NC_013967.1,WP_004045021.1,HVO_RS04850,HVO_0030,420,30293,30712,+,protein_coding,NUDIX hydrolase
NC_013966.1,WP_004043406.1,HVO_RS02015,HVO_A0032,417,30432,30848,+,protein_coding,hypothetical protein
NC_013968.1,WP_013035684.1,HVO_RS19430,HVO_C0037,1170,30761,31930,+,protein_coding,ISH3-like element ISHvo21 family transposase
NC_013964.1,WP_004041126.1,HVO_RS00130,HVO_B0028,1173,30784,31956,+,protein_coding,D-xylose 1-dehydrogenase
NC_013966.1,WP_004043405.1,HVO_RS02020,HVO_A0033,492,30955,31446,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045023.1,HVO_RS04855,HVO_0032,1086,31121,32206,+,protein_coding,sulfite exporter TauE/SafE family protein
NC_013966.1,WP_004043404.1,HVO_RS02025,HVO_A0034,366,31450,31815,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043403.1,HVO_RS19740,HVO_A0035,1185,31900,33084,-,protein_coding,tubulin/FtsZ family protein
NC_013964.1,WP_004041125.1,HVO_RS00135,HVO_B0029,978,32017,32994,+,protein_coding,D-xylose 1-dehydrogenase
NC_013967.1,WP_004045027.1,HVO_RS04860,HVO_0033,441,32276,32716,+,protein_coding,universal stress protein
NC_013968.1,WP_013035717.1,HVO_RS20380,HVO_C0038,351,32328,32678,-,protein_coding,hypothetical protein
NC_013967.1,WP_004045032.1,HVO_RS04865,HVO_0034,495,32744,33238,-,protein_coding,acyl-CoA thioesterase
NC_013968.1,WP_013035699.1,HVO_RS19435,HVO_C0039,1167,32946,34112,+,protein_coding,ISH3-like element ISH51 family transposase
NC_013964.1,WP_004041124.1,HVO_RS00140,HVO_B0030,876,33019,33894,-,protein_coding,pentonolactonase XacC
NC_013967.1,WP_004045034.1,HVO_RS04870,HVO_0035,1191,33689,34879,-,protein_coding,SPFH domain-containing protein
NC_013964.1,WP_004041123.1,HVO_RS00145,HVO_B0031,762,34036,34797,-,protein_coding,SDR family oxidoreductase
NC_013966.1,WP_004043402.1,HVO_RS02040,HVO_A0036,426,34050,34475,+,protein_coding,helix-turn-helix domain-containing protein
NC_013966.1,WP_004043401.1,HVO_RS02045,HVO_A0037,303,34478,34780,+,protein_coding,hypothetical protein
NC_013968.1,WP_013035696.1,HVO_RS20385,HVO_C0040,1221,34493,35713,+,protein_coding,DNA cytosine methyltransferase
NC_013966.1,WP_004043400.1,HVO_RS19745,HVO_A0038,627,34844,35470,-,protein_coding,DUF502 domain-containing protein
NC_013964.1,WP_004041122.1,HVO_RS00150,HVO_B0032,765,34897,35661,+,protein_coding,L-arabinose 1-dehydrogenase
NC_013967.1,WP_004045037.1,HVO_RS04875,HVO_0036,195,34980,35174,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045040.1,HVO_RS04880,HVO_0037,498,35225,35722,+,protein_coding,2'-5' RNA ligase family protein
NC_013966.1,WP_236995449.1,HVO_RS02050,HVO_A0039,1020,35744,36763,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045041.1,HVO_RS04885,HVO_0038,1377,35776,37152,-,protein_coding,cytochrome P450
NC_013964.1,WP_004041121.1,HVO_RS00155,HVO_B0034,1317,35981,37297,+,protein_coding,ABC transporter substrate-binding protein
NC_013968.1,WP_144064063.1,HVO_RS20390,HVO_C0041,2181,36244,38424,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045042.1,HVO_RS04890,HVO_0039,2205,37234,39438,-,protein_coding,ATP-dependent DNA helicase
NC_013964.1,WP_004041120.1,HVO_RS00160,HVO_B0035,954,37352,38305,+,protein_coding,xylose/arabinose ABC transporter permease XacH
NC_013966.1,WP_004043397.1,HVO_RS02060,HVO_A0042,1041,37548,38588,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041119.1,HVO_RS00165,HVO_B0036,930,38308,39237,+,protein_coding,xylose/arabinose ABC transporter permease XacI
NC_013968.1,WP_013035734.1,HVO_RS19450,HVO_C0042,3825,38529,42353,+,protein_coding,helicase-related protein
NC_013966.1,WP_161606681.1,HVO_RS02065,HVO_A0043,783,39046,39828,-,protein_coding,universal stress protein
NC_013964.1,WP_004041118.1,HVO_RS00170,HVO_B0037,1152,39241,40392,+,protein_coding,xylose/arabinose ABC transporter ATP-binding protein XacJ
NC_013967.1,WP_004045043.1,HVO_RS04895,HVO_0040,471,39586,40056,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045044.1,HVO_RS04900,HVO_0041,900,40093,40992,-,protein_coding,ornithine carbamoyltransferase
NC_013964.1,WP_004041117.1,HVO_RS00175,HVO_B0038,1152,40395,41546,+,protein_coding,xylose/arabinose ABC transporter ATP-binding protein XacK
NC_013966.1,WP_004043394.1,HVO_RS02075,HVO_A0045,861,40485,41345,-,protein_coding,M48 family metalloprotease
NC_013967.1,WP_004045045.1,HVO_RS04905,HVO_0042,1146,41076,42221,-,protein_coding,[LysW]-lysine hydrolase
NC_013966.1,WP_004043393.1,HVO_RS02080,HVO_A0046,573,41599,42171,-,protein_coding,VTT domain-containing protein
NC_013964.1,WP_004041116.1,HVO_RS00180,HVO_B0038A,1239,41808,43046,-,protein_coding,xylonate dehydratase
NC_013967.1,WP_004045048.1,HVO_RS04910,HVO_0043,1137,42218,43354,-,protein_coding,acetylornithine/succinylornithine family transaminase
NC_013966.1,WP_004043392.1,HVO_RS02085,HVO_A0047,870,42424,43293,+,protein_coding,universal stress protein
NC_013968.1,WP_013035710.1,HVO_RS19455,HVO_C0043,1986,42448,44433,+,protein_coding,DUF1998 domain-containing protein
NC_013964.1,WP_004041115.1,HVO_RS00185,HVO_B0039,1449,43203,44651,+,protein_coding,"2,5-dioxovalerate dehydrogenase"
NC_013967.1,WP_004045050.1,HVO_RS04915,HVO_0044,984,43351,44334,-,protein_coding,acetylglutamate/acetylaminoadipate kinase
NC_013966.1,WP_004043390.1,HVO_RS02090,HVO_A0048,288,43402,43689,-,protein_coding,amphi-Trp domain-containing protein
NC_013966.1,WP_004043387.1,HVO_RS02095,HVO_A0049,1347,43972,45318,+,protein_coding,hemolysin family protein
NC_013967.1,WP_004045051.1,HVO_RS04920,HVO_0045,1044,44389,45432,-,protein_coding,N-acetyl-gamma-glutamyl-phosphate reductase
NC_013968.1,WP_013035705.1,HVO_RS19460,HVO_C0044,1002,44460,45461,+,protein_coding,phospholipase D family protein
NC_013964.1,WP_004041114.1,HVO_RS00190,HVO_B0040,756,44953,45708,-,protein_coding,HTH-type transcriptional regulator XacR
NC_013966.1,WP_004043386.1,HVO_RS02100,HVO_A0050,396,45386,45781,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045055.1,HVO_RS04925,HVO_0046,876,45429,46304,-,protein_coding,lysine biosynthesis protein LysX
NC_013968.1,WP_013035708.1,HVO_RS19465,HVO_C0045,1155,45606,46760,+,protein_coding,HNH endonuclease
NC_013966.1,WP_004043385.1,HVO_RS02105,HVO_A0051,405,45861,46265,+,protein_coding,DUF6166 domain-containing protein
NC_013966.1,WP_004043384.1,HVO_RS02110,HVO_A0052,279,46285,46563,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045057.1,HVO_RS04930,HVO_0047,180,46306,46485,-,protein_coding,lysine biosynthesis protein LysW
NC_013964.1,WP_004041113.1,HVO_RS00195,HVO_B0041,1839,46367,48205,-,protein_coding,IucA/IucC family siderophore biosynthesis protein
NC_013966.1,WP_004043383.1,HVO_RS02115,HVO_A0053,219,46613,46831,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045061.1,HVO_RS04935,HVO_0048,1467,46806,48272,-,protein_coding,argininosuccinate lyase
NC_013966.1,WP_004043381.1,HVO_RS02120,HVO_A0054,687,46903,47589,+,protein_coding,DUF6166 domain-containing protein
NC_013968.1,WP_013035723.1,HVO_RS19470,HVO_C0046,555,47163,47717,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043380.1,HVO_RS20750,HVO_A0055,159,47589,47747,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041112.1,HVO_RS00200,HVO_B0042,1374,48214,49587,-,protein_coding,lysine N(6)-hydroxylase/L-ornithine N(5)-oxygenase family protein
NC_013967.1,WP_004045062.1,HVO_RS04940,HVO_0049,1218,48274,49491,-,protein_coding,argininosuccinate synthase
NC_013968.1,WP_013035732.1,HVO_RS21125,HVO_C0049,174,48570,48743,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043378.1,HVO_RS02130,HVO_A0057,822,48734,49555,+,protein_coding,IS5-like element ISHvo2 family transposase
NC_013968.1,WP_013035676.1,HVO_RS19475,HVO_C0050,801,49346,50146,-,protein_coding,hypothetical protein
NC_013966.1,WP_144064019.1,HVO_RS20465,NA,510,49569,50078,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041111.1,HVO_RS00205,HVO_B0043,642,49584,50225,-,protein_coding,GNAT family N-acetyltransferase
NC_013967.1,WP_004045066.1,HVO_RS04945,HVO_0051,1215,49976,51190,-,protein_coding,cation:proton antiporter
NC_013964.1,WP_004041110.1,HVO_RS00210,HVO_B0044,1782,50222,52003,-,protein_coding,IucA/IucC family protein
NC_013968.1,WP_013035721.1,HVO_RS19480,HVO_C0051,489,50262,50750,+,protein_coding,hypothetical protein
NC_013966.1,WP_004043377.1,HVO_RS02135,HVO_A0058,1002,50627,51628,+,protein_coding,hypothetical protein
NC_013968.1,NA,HVO_RS19485,HVO_C0052,825,50866,51690,-,pseudogene,IS1595 family transposase
NC_013967.1,WP_004045067.1,HVO_RS04950,HVO_0052,486,51190,51675,-,protein_coding,TrkA C-terminal domain-containing protein
NC_013968.1,WP_013035682.1,HVO_RS19490,HVO_C0053,1353,51699,53051,-,protein_coding,IS4 family transposase
NC_013966.1,WP_013035171.1,HVO_RS02140,HVO_A0059,348,51701,52048,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045069.1,HVO_RS04955,HVO_0053,603,51719,52321,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041109.1,HVO_RS00215,HVO_B0045,1566,52000,53565,-,protein_coding,aspartate aminotransferase family protein
NC_013966.1,WP_004043375.1,HVO_RS02145,HVO_A0060,927,52135,53061,+,protein_coding,ArdC-like ssDNA-binding domain-containing protein
NC_013967.1,WP_004045074.1,HVO_RS04960,HVO_0054,1785,52328,54112,-,protein_coding,glycine--tRNA ligase
NC_013966.1,WP_013035052.1,HVO_RS02150,HVO_A0061,540,53198,53737,+,protein_coding,hypothetical protein
NC_013968.1,WP_004045436.1,HVO_RS20405,HVO_C0054,1035,53301,54335,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041108.1,HVO_RS00220,HVO_B0046,1380,53562,54941,-,protein_coding,diaminobutyrate--2-oxoglutarate transaminase
NC_013966.1,WP_013035018.1,HVO_RS02155,HVO_A0062,978,53753,54730,-,protein_coding,IS1595-like element ISHvo6 family transposase
NC_013967.1,WP_004045076.1,HVO_RS04965,HVO_0055,855,54105,54959,-,protein_coding,CBS domain-containing protein
NC_013968.1,NA,HVO_RS20680,HVO_C0054A,210,54474,54683,-,pseudogene,DDE-type integrase/transposase/recombinase
NC_013968.1,WP_144064064.1,HVO_RS20685,NA,351,54774,55124,-,protein_coding,hypothetical protein
NC_013966.1,WP_004043372.1,HVO_RS02160,HVO_A0063,324,54843,55166,+,protein_coding,hypothetical protein
NC_013967.1,WP_004045079.1,HVO_RS04970,HVO_0056,579,55092,55670,-,protein_coding,hypothetical protein
NC_013968.1,WP_144064065.1,HVO_RS20690,NA,396,55340,55735,-,protein_coding,hypothetical protein
NC_013966.1,WP_013035182.1,HVO_RS02165,HVO_A0064,1500,55398,56897,-,protein_coding,AAA family ATPase
NC_013964.1,WP_004041107.1,HVO_RS00225,HVO_B0047,1203,55399,56601,-,protein_coding,ABC transporter substrate-binding protein
NC_013967.1,WP_004045081.1,HVO_RS04975,HVO_0057,447,55732,56178,-,protein_coding,hypothetical protein
NC_013968.1,WP_013035686.1,HVO_RS20410,HVO_C0056,213,55899,56111,-,protein_coding,hypothetical protein
NC_013967.1,WP_004045083.1,HVO_RS04980,HVO_0058,1335,56181,57515,-,protein_coding,ATP-binding cassette domain-containing protein
NC_013968.1,WP_004045434.1,HVO_RS19510,HVO_C0057,1248,56369,57616,+,protein_coding,orc1/cdc6 family replication initiation protein
NC_013964.1,WP_004041106.1,HVO_RS00230,HVO_B0048,813,56690,57502,-,protein_coding,cobalt-precorrin-7 (C(5))-methyltransferase
NC_013964.1,WP_004041105.1,HVO_RS00235,HVO_B0049,681,57495,58175,-,protein_coding,precorrin-8X methylmutase
NC_013967.1,WP_004045086.1,HVO_RS04985,HVO_0059,1080,57512,58591,-,protein_coding,ABC transporter ATP-binding protein
